WORDS,START,END,CONFIDENCE
dying,699.14,699.49,0.025879
on,699.5,699.71,0.734889
all,699.72,699.87,0.48472
planet,699.88,700.36,0.187722
leave,700.37,700.5,0.03758
behind,700.51,700.85,0.125878
a,700.86,700.89,0.034722
mass,700.9,701.36,0.271023
numbers,701.37,701.71,0.769642
of,701.72,701.8,0.744879
fossils,701.81,702.37,0.999
each,702.38,702.54,0.07109
won(2),702.55,702.72,0.339281
a,702.73,702.76,0.922739
small,702.77,703.08,0.990742
miracle,703.09,703.62,1.0001
collectively,704.76,705.7,0.9999
inevitable,706.35,706.94,1
sixty,708.64,708.97,0.934814
six,708.98,709.2,0.9996
million,709.21,709.5,0.970248
years(2),709.51,709.7,0.999
ago,709.71,709.83,0.990346
and,709.84,709.93,0.506526
aspirations,709.94,710.58,0.693681
the(2),710.59,710.75,0.978825
earth,710.76,711.08,0.959153
wipes,712,712.36,0.029481
out,712.37,712.51,0.647167
the,712.52,712.59,0.269294
dinosaurs,712.6,713.33,0.275808
this,714.8,715.01,0.849235
is,715.02,715.16,0.858715
easily,715.17,715.62,0.9997
might,715.63,715.84,0.652301
not,715.85,716.04,0.663552
have,716.05,716.19,0.280005
been,716.2,716.55,0.092998
we,717.32,717.55,0.481483
only,717.56,717.74,0.457037
get,717.75,717.89,0.921632
one,717.9,718.07,0.598302
history,718.08,718.58,0.650021
as,718.71,718.94,0.488809
the,718.95,719.01,0.830754
one,719.02,719.17,0.699394
that(2),719.18,719.26,0.376396
we,719.27,719.38,1.0003
have,719.39,719.69,0.940346
this,719.7,719.95,0.998701
particular,719.96,720.55,1.0006
reality,720.56,721.03,1.0006
was(2),721.04,721.22,0.870388
not,721.23,721.54,0.9994
inevitable,721.55,722.13,1.0002
the,722.5,722.62,0.187122
tiniest,722.63,723.22,0.156513
for(2),723.23,723.37,0.510085
division,723.38,723.84,0.55158
of,723.85,723.92,0.78968
that,723.93,724.11,0.426007
asteroid,724.12,724.63,0.147368
far,724.64,724.95,0.081676
from,724.96,725.13,0.097552
earth,725.14,725.35,0.10192
would,725.36,725.46,0.177924
oppose,725.47,725.78,0.004975
that(2),725.79,725.91,0.245278
the,725.92,725.97,0.158688
miss,725.98,726.37,0.32212
our,726.38,726.66,0.897437
planet,726.67,727.03,0.919882
by,727.04,727.21,0.336309
wide,727.22,727.55,0.133663
margins,727.56,727.98,0.040269
dental,728.93,729.26,0.015399
plan,729.27,729.63,0.08175
as(2),729.64,729.79,0.32367
they,729.8,729.99,0.297233
bring,730,730.23,0.068879
us,730.24,730.35,0.044966
the,730.36,730.44,0.993818
dinosaurs,730.45,731.06,0.998501
were,731.07,731.16,0.977358
wiped,731.17,731.47,0.991138
out,731.48,731.75,0.9998
setting,732.16,732.68,0.154631
the,732.69,732.75,0.835169
stage,732.76,733.19,0.323346
for(2),733.2,733.3,0.768104
the,733.31,733.38,0.9999
modern,733.39,733.79,0.9999
world,733.8,734.09,0.997204
as(2),734.1,734.19,0.359257
we,734.2,734.31,1
know,734.32,734.56,0.92154
it,734.57,734.67,0.413829
didn't(3),735.4,735.6,0.755381
have,735.61,735.77,0.996705
to(3),735.78,735.87,0.51707
be,735.88,736.23,0.942983
could've,737.07,737.28,0.040366
just(2),737.29,737.54,0.729616
another,737.55,737.89,0.9998
day,737.9,738.2,0.47693
thursday,739.52,739.95,0.27567
perhaps,739.96,740.51,1.0001
among,741.77,742.05,0.547458
the,742.06,742.13,0.817648
sixty,742.14,742.62,0.975502
three,742.63,742.9,1.0002
billion,742.91,743.43,1.0002
days,743.44,743.75,0.301604
already,743.76,744.31,0.920526
enjoy(2),744.32,744.79,0.28248
it,744.8,744.99,0.393093
by,745.65,745.77,0.118927
the,745.78,745.86,0.358682
dinosaurs,745.87,746.68,0.987083
we're(2),747.34,747.58,0.359328
geological,747.59,748.25,0.951224
time,748.26,748.61,0.992924
improbable,748.75,749.56,0.782135
nearly,749.6,750.13,0.9996
impossible,750.14,750.93,0.9996
events,750.94,751.34,0.035779
to,751.69,751.9,0.182611
occur,751.91,752.35,0.017988
along,752.74,753.05,0.291113
the,753.06,753.13,0.907183
path,753.14,753.66,0.463899
from,753.67,753.88,0.997802
our(2),753.92,754.18,0.482978
were,754.19,754.47,0.759016
eating,754.48,754.95,0.463806
grin,754.96,755.21,0.61474
ancestors,755.22,755.81,0.9997
the,755.82,755.89,0.805957
primates,755.9,756.44,0.58798
dressed,756.45,756.75,0.141943
in,756.76,756.86,0.33223
suits,756.87,757.47,0.9999
innumerable,758.22,758.88,0.9997
forks,758.89,759.26,0.007638
in,759.27,759.33,0.012074
the,759.34,759.41,0.064055
road,759.42,759.7,0.564584
lettuce,759.71,760.03,0.012448
is,760.04,760.26,0.868041
very,760.27,760.6,0.996506
particular,760.61,761.42,1.0001
reality,762.15,762.79,1
the,764,764.07,0.898335
bones,764.08,764.4,0.492588
of,764.41,764.47,0.305765
dread,764.48,764.73,0.001451
honestly(2),764.74,765.2,0.057347
and,765.21,765.5,0.265842
out,765.51,765.65,0.228397
for(2),765.66,765.77,0.749887
seventy(2),765.78,766.38,0.719616
seven,766.39,766.85,1.0002
million,766.86,767.33,0.914836
years(2),767.34,767.87,0.9994
so,768.98,769.11,0.305429
can(2),769.12,769.32,0.313381
imagine,769.33,769.89,0.998601
that,769.9,770.02,0.242643
a,770.03,770.09,0.882661
single,770.1,770.66,0.9992
species,770.67,771.38,0.9993
of,771.95,772.07,0.723802
TRUE,772.08,772.46,0.578126
like,772.47,772.67,0.998701
mammal,772.68,773.1,0.013108
living,773.11,773.34,0.927364
in,773.35,773.43,0.956949
the,773.44,773.51,0.782369
cracks,773.52,774.02,0.992825
the,774.03,774.12,0.484332
dinosaur,774.13,774.67,0.808136
world,774.68,775.01,0.737761
were,775.02,775.11,0.126801
involved,775.12,775.7,0.168367
in,776,776.14,0.956949
this,776.15,776.42,0.293863
and(2),776.43,776.55,0.178834
he,776.56,776.78,0.396172
he's,776.79,777.28,0.532979
capable,777.29,777.81,0.9999
of,777.82,777.92,0.841373
characterizing,777.93,778.81,0.940723
understanding,778.82,779.71,0.964443
the,779.72,779.79,0.9992
very,779.8,780.15,1
dinosaurs,780.16,781.02,0.9998
they,781.03,781.13,0.178512
must,781.14,781.59,0.477216
have,781.6,781.69,0.292251
to,781.8,781.91,0.370014
read,781.92,782.13,0.836423
it,782.14,782.35,0.196422
on,784.78,784.97,0.026113
one,784.98,785.12,0.004813
step,785.13,785.56,0.006446
at,786.17,786.33,0.224524
the,786.34,786.4,0.415613
head,786.41,786.64,0.075479
of,786.65,786.73,0.125501
the,786.74,786.8,0.837846
missouri,786.81,787.23,0.998201
river,787.24,787.61,1
and(2),789.16,789.32,0.410367
the(2),789.33,789.42,0.713381
strap,789.43,789.91,0.589629
that(2),789.92,790.23,0.276333
there,791.12,791.49,0.291113
is,791.5,791.71,0.279753
nothing,791.72,792.08,0.998701
more,792.09,792.3,0.998701
than,792.31,792.5,0.996705
a,792.51,792.54,0.527517
girl,792.55,792.99,0.984421
of,793,793.06,0.723151
water,793.07,793.44,0.969472
that(2),793.45,793.56,0.081155
issues,793.57,793.91,0.74473
forth,793.92,794.42,0.044679
from,794.67,794.89,0.987576
these,794.9,795.12,0.094735
are,795.13,795.24,0.140601
rock,795.25,795.69,0.075426
the,796.14,796.32,0.210182
boulder,796.33,796.78,0.624468
minute,796.86,797.17,0.023007
after,797.18,797.61,0.394866
high,797.97,798.28,0.084976
in,798.29,798.36,0.014232
the,798.37,798.43,0.065473
dirt,798.44,798.8,0.008193
mountains,798.81,799.34,0.123558
the,800.15,800.23,0.888151
strain,800.24,800.56,0.072505
excellent,800.57,801,0.202021
runs,801.01,801.22,0.229404
a,801.23,801.28,0.689187
few,801.29,801.55,0.941381
hundred(3),801.56,801.77,0.597824
yards,801.78,802.27,0.9999
and(2),803.41,803.56,0.784799
ends,803.57,803.76,0.054376
in,803.77,803.85,0.291638
a,803.86,803.89,0.969666
small,803.9,804.19,1.0001
pond,804.2,804.57,0.103192
those,806.03,806.23,0.921632
two,806.24,806.37,0.881249
strains,806.38,806.95,0.372427
they,807.71,807.82,0.375719
look,807.83,808.01,0.631503
identical,808.02,808.67,1.0001
but,809.73,809.93,0.209972
why,809.94,810.27,0.18027
is,810.57,810.71,0.776989
an(2),810.72,810.79,0.325325
anonymous,810.8,811.28,0.434571
trickle,811.29,811.56,0.037652
of,811.57,811.64,0.198635
water,811.65,811.96,0.9999
at,811.97,812.34,0.00919
any,812.35,812.52,0.256672
other,812.53,812.82,0.985504
this,813.4,813.6,0.440082
missouri,813.61,814.03,0.992527
river,814.04,814.36,1
now,815.71,815.88,0.339417
go,815.89,816.02,0.818957
down,816.03,816.27,0.984421
to(3),816.28,816.4,0.604618
the,816.41,816.47,0.31688
mouth,816.48,816.92,0.109191
of,816.93,817.01,0.441448
the,817.02,817.08,0.355006
missouri,817.09,817.51,0.660837
near,817.52,817.71,0.510289
st(2),817.72,817.99,0.853066
louis,818,818.55,0.965022
and(2),819.24,819.35,0.784171
it's,819.36,819.46,0.556678
very,819.47,819.74,0.161167
odd,819.75,819.92,0.046614
is,819.93,820.07,0.060918
that,820.08,820.41,1.0001
revert,820.42,820.87,0.263407
is,820.88,821,0.757651
a,821.01,821.06,0.473129
big,821.07,821.24,0.110024
deal,821.25,821.56,0.870214
what,822.75,822.88,0.279362
got,822.89,823.22,0.189931
into,823.23,823.36,0.136282
the,823.37,823.44,0.595258
desert,823.45,823.88,0.09663
sun,823.89,824.1,0.035166
look,824.11,824.3,0.820926
at,824.31,824.38,0.852895
the,824.39,824.45,0.864057
missouri,824.46,825.06,0.990643
and(2),825.36,825.53,0.855373
human,825.54,825.99,0.838433
prospect,826,826.63,0.510493
that(2),826.64,826.79,0.365271
does(2),826.8,826.99,0.303875
not,827,827.36,0.9999
allow,827.37,827.75,0.9999
us,827.76,827.87,0.989554
to(3),827.88,827.98,0.644648
see,827.99,828.31,0.997104
it,828.32,828.39,0.778545
as(2),828.4,828.54,0.097874
anything,828.55,828.93,0.9999
special,828.94,829.42,1
now,831.09,831.39,0.967245
back,831.4,831.56,0.518313
to(2),831.57,831.67,0.906276
the,831.68,831.75,0.782526
cretaceous,831.76,832.27,0.999
period,832.28,832.76,0.999
and(2),833.02,833.24,0.626157
look,833.25,833.46,0.936405
at,833.47,833.6,0.986984
our,833.61,833.83,0.996506
tiny,833.84,834.26,0.9993
fuzz,834.27,834.56,0.046377
ball,834.57,834.78,0.099732
ancestors,834.79,835.49,0.9993
and(2),835.5,835.64,0.7575
you,835.65,835.73,0.784328
would,835.74,835.85,0.628667
never,835.86,836.24,0.9994
guess,836.25,836.6,0.476405
that(2),836.61,837.12,0.564923
they,837.13,837.21,0.952938
would,837.22,837.33,0.012288
amount,837.34,837.52,0.001178
to(2),837.53,837.72,0.223203
anything,837.73,838.16,0.9997
special,838.17,838.69,0.9996
and,838.7,838.79,0.317197
they,838.8,838.89,0.469875
probably,838.9,839.46,1.0001
wouldn't,839.47,839.84,1.0001
have,839.85,840.24,1.0001
we're(3),840.7,840.85,0.816341
not,840.86,841.13,0.9999
for(2),841.14,841.26,0.250785
that,841.27,841.51,0.859833
pesky,841.52,841.96,0.369496
asteroid,841.97,842.69,0.800975
now,843.89,844.02,0.55501
make,844.03,844.19,0.233174
a,844.2,844.3,0.201577
thousand(2),844.31,844.82,0.907001
more,844.83,845.03,0.748613
were,845.04,845.24,0.046053
also,845.25,845.49,0.052842
nice,845.5,845.72,0.037852
thousand(2),845.73,846.25,0.803301
more,846.26,846.47,0.9994
solar,846.48,846.81,0.998102
systems,846.82,847.21,0.780962
and,847.22,847.36,0.495107
let,847.37,847.53,0.681033
them,847.54,847.82,0.999
rot,847.83,848.22,0.084628
you,849.11,849.24,0.692642
will(2),849.25,849.4,0.764731
never,849.41,849.93,0.9995
get(2),849.94,850.11,0.399634
the,850.12,850.18,0.966084
same,850.19,850.48,0.966664
result,850.49,851.08,0.82752
no,851.25,851.43,0.956758
doubt,851.44,851.7,0.95208
those,851.71,851.91,0.129156
worlds,851.92,852.16,0.080348
we,852.17,852.29,0.611368
both,852.3,852.5,0.938655
amazing,852.51,853.15,0.9999
an,853.16,853.27,0.117873
amazingly,853.28,853.92,0.569803
improbable,853.93,854.64,0.059313
but,854.65,854.77,0.182228
they,854.78,854.89,0.913008
were,854.9,855,0.820187
not,855.01,855.24,0.795228
in,855.25,855.36,0.032426
our,855.55,855.86,0.543747
world,855.87,856.14,0.971316
and,856.15,856.23,0.647103
they,856.24,856.32,0.917402
would,856.33,856.44,0.40353
not,856.45,856.58,0.240421
have,856.59,856.79,1.0002
our,856.95,857.2,0.652823
history,857.21,857.64,1.0001
there,857.65,857.82,0.489396
in,857.83,857.92,0.114069
infinite,858.03,858.36,0.631439
number,858.37,858.59,0.980687
of,858.6,858.69,0.863366
history's(2),858.7,859.06,0.145087
the,859.07,859.25,0.655964
code,859.26,859.5,0.1736
of,859.51,859.59,0.430375
fact,859.6,860.02,0.0323
we,860.03,860.16,0.037378
only,860.17,860.34,0.03737
get,860.35,860.49,0.047456
one(2),860.5,860.79,0.551745
why(2),860.8,861.11,0.000845
have,861.12,861.32,0.001503
we,861.33,861.5,0.336409
ever,861.51,861.72,0.694098
get(2),861.73,861.89,0.539846
a,861.9,861.96,0.593059
good,861.97,862.27,0.718681
one,862.28,862.52,0.576855
dinosaurs,863.55,864.1,0.841541
like,864.11,864.28,0.937154
to(3),864.29,864.36,0.286148
read,864.37,864.53,0.785898
not,864.54,864.75,0.100553
us,864.76,865.03,0.138259
rio,865.47,866,0.063799
sea,866.94,867.3,0.109115
monsters,867.31,867.83,0.983732
like,867.84,868.01,0.992726
the,868.02,868.09,0.739534
moses(2),868.1,868.64,0.3594
or,868.65,868.88,0.424222
rio,869.38,869.88,0.241626
dragon,871.22,871.68,0.90528
fights,871.69,872.1,0.125803
with,872.11,872.22,0.681578
a,872.23,872.27,0.602626
wingspan,872.28,872.9,0.630115
of,872.91,873,0.557737
a(2),873.01,873.05,0.178334
needle,873.06,873.45,0.439554
in,873.46,873.58,0.345375
so,873.64,873.86,0.644004
long,873.87,874.06,0.078466
so,874.07,874.33,0.489201
i,874.34,874.48,0.35818
have,874.49,874.62,0.077344
a,874.63,874.75,0.260525
car,874.76,875.28,0.826693
really(2),875.29,875.74,0.701565
existed,875.75,876.47,0.375118
weiss,879.23,879.52,0.005871
the(2),879.53,879.73,0.620546
the(2),879.74,879.83,0.131963
ancient,879.84,880.15,0.102976
past,880.16,880.63,0.20007
because(2),882.7,882.98,0.874052
it,882.99,883.04,0.983634
gives,883.05,883.26,0.991634
us,883.27,883.39,0.991733
perspective,883.4,884.13,0.998201
and,885.05,885.19,0.931827
humility,885.2,885.84,0.902206
that(2),887.03,887.24,0.113375
dinosaurs,887.25,887.87,0.9993
died,887.88,888.21,0.994216
in,888.22,888.34,0.819449
the,888.35,888.4,0.839188
world's,888.41,888.77,0.452534
fifth,888.78,889.14,0.347176
mass,889.15,889.42,0.997004
extinction,889.43,890.05,0.678721
snuffed,890.42,891.02,0.916668
out,891.03,891.3,0.9997
of,891.31,891.38,0.290822
our(3),891.39,891.47,0.10918
cosmic,891.48,892.02,1
accident,892.03,892.5,1.0002
through,892.51,892.73,0.011845
no,892.74,893.07,0.06073
fault,893.08,893.39,0.026949
of,893.4,893.49,0.070074
their,893.5,893.71,0.995211
own,893.72,893.9,0.922277
this,895.15,895.58,0.698904
is,895.59,895.76,0.862589
coming,895.77,896.15,0.948564
they,897.06,897.5,0.538606
have,897.51,897.67,0.937342
a(2),897.68,897.73,0.576279
choice,897.74,898.3,1
we,900.04,900.41,0.902297
are,900.77,900.88,0.440919
the(2),900.89,901,0.102647
other,901.01,901.18,0.178031
hand,901.19,901.48,0.510595
you,902.46,902.6,0.872829
have,902.61,902.78,0.933599
a(2),902.79,902.83,0.448255
choice,902.84,903.32,0.982847
and(2),904,904.12,0.353377
the,904.13,904.18,0.439906
nature,904.19,904.69,0.9999
of,904.7,904.78,0.938373
the,904.79,904.86,0.918963
fossil,904.87,905.23,0.9999
record(2),905.24,905.57,0.945722
tells,905.58,905.96,0.057814
us,905.97,906.12,0.064854
that(2),906.13,906.27,0.487491
our,906.46,906.72,0.664615
place,906.73,907.08,0.699394
on(2),907.09,907.19,0.616155
the,907.2,907.28,0.171649
supply,907.29,907.7,0.129816
is,907.71,907.93,0.898604
both,907.94,908.2,0.054626
precarious,908.21,909.04,0.992428
and(2),909.05,909.17,0.996705
potentially,909.18,909.78,1.0001
fleeting,909.79,910.54,0.025334
right,911.17,911.44,0.973261
now,911.45,911.82,1.0001
our(3),911.83,912.09,0.950843
species,912.1,912.62,0.984815
is,912.63,912.73,0.975795
propagating,912.74,913.56,0.847369
environmental,913.57,914.33,0.948279
disaster,914.34,914.91,0.939218
of,914.92,915.16,0.464131
geological,915.17,915.96,1.0003
proportions,915.97,916.52,0.387938
that(2),916.53,916.65,0.619864
is,916.66,916.75,0.836674
so,916.76,917.11,1.0006
rotten,917.12,917.44,0.220033
so,917.45,917.7,1.0003
severe,917.71,918.19,1.0003
they,918.56,918.65,0.278887
can(2),918.66,918.84,0.264146
write,918.85,919.12,0.389493
they,919.13,919.34,0.19315
called,919.35,919.66,0.883279
the,919.67,919.72,0.697857
sixth,919.73,920.15,0.699604
extinction(2),920.16,920.77,0.99551
only,922.48,922.71,0.119308
on,922.72,922.82,0.078591
like,922.83,922.97,0.550698
the,922.98,923.05,0.629863
dinosaurs,923.06,923.96,1.0001
we,925.19,925.31,0.9997
can(2),925.32,925.45,0.390156
see,925.46,925.6,0.368168
it,925.61,925.71,0.102308
coming,925.72,926.05,0.853578
and(2),927.46,927.61,0.37068
i,927.62,927.7,0.706353
like,927.71,927.86,0.857085
the,927.87,927.94,0.62347
dinosaurs,927.95,928.81,1.0001
we,929.76,929.88,1
can(2),929.89,930.03,0.872829
do,930.04,930.14,0.543747
something,930.15,930.5,1
about,930.51,930.81,1.0001
it,930.82,930.89,0.066669
that,932.44,932.67,0.605465
choice,932.68,933.16,0.289343
his,933.86,934.06,0.091824
hours(2),934.07,934.51,0.190426
and,935.58,935.71,0.201134
keep,935.72,936.51,0.636384
that,936.52,938.04,1
tap,940.21,942.74,0.31669
type,945.31,946.05,0.173461
